,Dates,AUDNZD,EURCHF,AUDJPY,AUDSGD,EURAUD,EURJPY,EURNZD,EURSGD,GBPAUD,GBPCAD,GBPCHF,GBPNZD,NZDCAD,NZDJPY,SGDJPY,NZDUSD,AUDUSD,USDCHF,USDJPY,GBPUSD,EURUSD,USDCAD,USDSGD
133,14.06.2017,D,L,W,W,W,L,D,L,L,W,L,D,D,W,L,D,W,W,L,W,L,W,L
134,15.06.2017,D,L,D,D,W,W,L,L,L,W,W,W,L,W,D,L,L,L,W,W,L,L,W
135,16.06.2017,W,L,L,L,W,W,W,D,L,W,L,W,D,D,D,L,L,W,L,L,L,L,L
137,19.06.2017,W,W,W,L,W,L,W,L,W,L,W,L,L,W,L,L,L,L,L,L,D,W,W
138,20.06.2017,W,D,W,D,D,L,L,W,L,L,W,L,W,L,D,L,W,W,L,W,D,D,D
139,21.06.2017,D,L,W,D,W,D,D,D,W,L,W,L,L,D,W,D,D,L,D,D,D,L,D
140,22.06.2017,D,L,L,D,L,L,L,L,W,L,W,W,L,W,L,W,L,W,W,W,L,L,L
141,23.06.2017,D,D,D,D,L,D,W,W,W,L,D,L,L,D,D,L,W,D,D,L,D,L,D
143,26.06.2017,L,D,W,W,W,L,W,W,W,L,W,W,L,W,W,W,W,L,L,L,L,W,L
144,27.06.2017,W,W,W,L,L,W,W,W,L,W,W,L,W,L,W,L,L,W,L,L,W,D,W
145,28.06.2017,W,D,W,D,L,D,L,W,W,D,D,W,W,W,W,W,W,W,L,D,W,W,W
146,29.06.2017,L,D,W,L,L,D,D,L,L,L,W,L,D,L,W,D,W,L,L,W,L,W,D
147,30.06.2017,L,L,D,D,L,D,W,D,L,L,L,L,L,D,D,L,W,D,D,L,W,L,L
149,03.07.2017,L,D,W,L,L,L,W,D,L,D,W,D,D,D,L,D,L,W,L,L,D,L,D
150,04.07.2017,D,D,L,W,L,L,D,D,L,L,W,D,L,W,L,W,W,W,L,L,D,L,D
151,05.07.2017,W,L,W,D,L,W,W,L,W,W,W,D,L,W,L,L,L,L,W,W,W,W,L
152,06.07.2017,L,D,L,D,L,W,L,L,L,W,L,L,W,L,L,L,L,L,L,L,L,L,L
153,07.07.2017,D,D,D,D,L,D,D,D,L,L,D,D,L,D,D,D,D,W,D,W,D,L,W
155,10.07.2017,D,W,D,W,W,W,D,W,W,L,L,D,D,D,L,D,W,L,W,W,W,W,L
156,11.07.2017,D,L,L,D,L,L,L,L,W,W,W,L,L,D,D,L,D,W,D,W,L,L,D
157,12.07.2017,L,W,L,W,L,L,W,W,L,L,L,W,L,L,L,W,W,L,W,D,W,W,W
158,13.07.2017,D,D,D,W,W,W,L,L,W,D,W,L,W,L,L,W,D,W,L,W,L,W,L
159,14.07.2017,D,L,W,D,L,W,W,L,W,L,L,W,D,W,D,L,L,W,L,L,L,L,W
161,17.07.2017,D,L,L,L,L,L,L,D,W,L,W,L,L,L,L,L,L,W,L,L,W,L,L
162,18.07.2017,W,W,W,D,W,L,L,L,W,L,L,W,D,L,W,W,W,W,W,W,D,L,L
163,19.07.2017,W,L,W,L,W,L,L,L,W,L,W,W,L,W,L,L,L,W,L,W,W,L,L
164,20.07.2017,D,W,D,D,D,W,L,W,L,W,L,D,W,D,L,W,D,W,L,L,W,W,W
165,21.07.2017,D,D,W,L,L,W,L,L,W,L,L,D,L,W,W,D,L,L,W,D,L,W,W
167,24.07.2017,D,D,W,W,L,L,W,D,L,W,D,W,W,L,W,L,L,W,W,L,L,W,W
168,25.07.2017,L,W,L,L,L,L,L,L,L,L,W,L,L,W,W,L,L,W,W,W,L,W,L
169,26.07.2017,L,W,W,D,W,L,D,W,W,W,D,W,D,W,W,W,W,W,W,W,W,W,L
170,27.07.2017,L,W,W,L,L,W,W,D,W,W,W,W,L,W,D,W,L,W,L,D,L,L,W
171,28.07.2017,W,L,W,D,W,L,L,W,W,L,L,W,L,W,D,L,L,L,L,L,W,L,D
173,31.07.2017,D,L,L,W,W,L,L,L,L,L,W,W,L,L,W,L,W,L,L,W,D,L,L
174,01.08.2017,D,D,L,L,D,D,D,D,D,D,L,D,D,D,L,D,W,L,W,L,L,D,D
175,02.08.2017,L,L,L,D,D,L,D,D,L,L,L,L,L,D,D,W,D,L,L,W,W,W,D
176,03.08.2017,L,L,L,W,W,L,W,L,L,L,L,W,D,L,L,W,L,L,L,L,L,W,W
177,04.08.2017,D,D,L,D,W,D,L,D,L,L,L,L,L,L,D,W,D,L,W,W,D,W,W
179,07.08.2017,D,W,L,L,L,W,W,L,L,L,W,L,W,W,W,W,L,L,L,L,L,L,D
180,08.08.2017,D,D,D,D,L,W,W,W,D,L,D,W,L,D,D,W,L,D,D,W,W,L,D
