,Dates,EURCHF,AUDJPY,EURAUD,GBPCAD,SGDJPY,NZDUSD,USDCHF,USDJPY,EURUSD,USDCAD,USDSGD
516,05.09.2018,,,,,,,,,,,
517,06.09.2018,,,,,,,,,,,
518,07.09.2018,,,,,,,,,,,
519,08.09.2018,,,,,,,,,,,
520,10.09.2018,,,,,,,,,,,
521,11.09.2018,,,,,,,,,,,
522,12.09.2018,,,,,,,,,,,
523,13.09.2018,,,,,,,,,,,
524,14.09.2018,,,,,,,,,,,
525,15.09.2018,,,,,,,,,,,
526,17.09.2018,,,,,,,,,,,
527,18.09.2018,,,,,,,,,,,
528,19.09.2018,,,,,,,,,,,
529,20.09.2018,,,,,,,,,,,
530,21.09.2018,,,,,,,,,,,
531,22.09.2018,,,,,,,,,,,
532,24.09.2018,,,,,,,,,,,
533,25.09.2018,,,,,,,,,,,
534,26.09.2018,,,,,,,,,,,
535,27.09.2018,,,,,,,,,,,
536,28.09.2018,,,,,,,,,,,
537,29.09.2018,,,,,,,,,,,
538,01.10.2018,,,,,,,,,,,
539,02.10.2018,,,,,,,,,,,
540,03.10.2018,,,,,,,,,,,
541,04.10.2018,,,,,,,,,,,
542,05.10.2018,,,,,,,,,,,
543,06.10.2018,,,,,,,,,,,
544,08.10.2018,,,,,,,,,,,
545,09.10.2018,,,,,,,,,,,
546,10.10.2018,,,,,,,,,,,
547,11.10.2018,,,,,,,,,,,
548,12.10.2018,,,,,,,,,,,
549,13.10.2018,,,,,,,,,,,
550,15.10.2018,,,,,,,,,,,
551,16.10.2018,,,,,,,,,,,
552,17.10.2018,,,,,,,,,,,
553,18.10.2018,,,,,,,,,,,
554,19.10.2018,,,,,,,,,,,
555,20.10.2018,,,,,,,,,,,
556,22.10.2018,,,,,,,,,,,
557,23.10.2018,,,,,,,,,,,
558,24.10.2018,,,,,,,,,,,
559,25.10.2018,,,,,,,,,,,
560,26.10.2018,,,,,,,,,,,
561,27.10.2018,,,,,,,,,,,
562,29.10.2018,,,,,,,,,,,
563,30.10.2018,,,,,,,,,,,
564,31.10.2018,,,,,,,,,,,
565,01.11.2018,,,,,,,,,,,
566,02.11.2018,,,,,,,,,,,
567,03.11.2018,,,,,,,,,,,
568,05.11.2018,,,,,,,,,,,
569,06.11.2018,,,,,,,,,,,
570,07.11.2018,,,,,,,,,,,
571,08.11.2018,,,,,,,,,,,
572,09.11.2018,,,,,,,,,,,
573,10.11.2018,,,,,,,,,,,
574,12.11.2018,,,,,,,,,,,
575,13.11.2018,,,,,,,,,,,
576,14.11.2018,,,,,,,,,,,
577,15.11.2018,,,,,,,,,,,
578,16.11.2018,,,,,,,,,,,
579,17.11.2018,,,,,,,,,,,
580,19.11.2018,,,,,,,,,,,
581,20.11.2018,,,,,,,,,,,
582,21.11.2018,,,,,,,,,,,
583,22.11.2018,,,,,,,,,,,
584,23.11.2018,,,,,,,,,,,
585,24.11.2018,,,,,,,,,,,
586,26.11.2018,,,,,,,,,,,
587,27.11.2018,,,,,,,,,,,
588,28.11.2018,,,,,,,,,,,
589,29.11.2018,,,,,,,,,,,
590,30.11.2018,,,,,,,,,,,
591,01.12.2018,,,,,,,,,,,
592,03.12.2018,,,,,,,,,,,
593,04.12.2018,,,,,,,,,,,
594,05.12.2018,,,,,,,,,,,
595,06.12.2018,,,,,,,,,,,
596,07.12.2018,,,,,,,,,,,
597,08.12.2018,,,,,,,,,,,
598,10.12.2018,,,,,,,,,,,
599,11.12.2018,,,,,,,,,,,
600,12.12.2018,,,,,,,,,,,
601,13.12.2018,,,,,,,,,,,
602,14.12.2018,,,,,,,,,,,
603,15.12.2018,,,,,,,,,,,
604,17.12.2018,,,,,,,,,,,
605,18.12.2018,,,,,,,,,,,
606,19.12.2018,,,,,,,,,,,
607,20.12.2018,,,,,,,,,,,
608,21.12.2018,,,,,,,,,,,
609,22.12.2018,,,,,,,,,,,
610,24.12.2018,,,,,,,,,,,
611,25.12.2018,,,,,,,,,,,
612,26.12.2018,,,,,,,,,,,
613,27.12.2018,,,,,,,,,,,
614,28.12.2018,,,,,,,,,,,
615,29.12.2018,,,,,,,,,,,
616,31.12.2018,,,,,,,,,,,
617,01.01.2019,,,,,,,,,,,
618,02.01.2019,,,,,,,,,,,
619,03.01.2019,,,,,,,,,,,
620,04.01.2019,,,,,,,,,,,
621,05.01.2019,,,,,,,,,,,
622,07.01.2019,,,,,,,,,,,
623,08.01.2019,,,,,,,,,,,
624,09.01.2019,,,,,,,,,,,
625,10.01.2019,,,,,,,,,,,
626,11.01.2019,,,,,,,,,,,
627,12.01.2019,,,,,,,,,,,
628,14.01.2019,,,,,,,,,,,
629,15.01.2019,,,,,,,,,,,
630,16.01.2019,,,,,,,,,,,
631,17.01.2019,,,,,,,,,,,
632,18.01.2019,,,,,,,,,,,
633,19.01.2019,,,,,,,,,,,
634,21.01.2019,,,,,,,,,,,
635,22.01.2019,,,,,,,,,,,
636,23.01.2019,,,,,,,,,,,
637,24.01.2019,,,,,,,,,,,
638,25.01.2019,,,,,,,,,,,
639,26.01.2019,,,,,,,,,,,
640,28.01.2019,,,,,,,,,,,
641,29.01.2019,,,,,,,,,,,
642,30.01.2019,,,,,,,,,,,
643,31.01.2019,,,,,,,,,,,
644,01.02.2019,,,,,,,,,,,
645,02.02.2019,,,,,,,,,,,
646,04.02.2019,,,,,,,,,,,
647,05.02.2019,,,,,,,,,,,
648,06.02.2019,,,,,,,,,,,
649,07.02.2019,,,,,,,,,,,
650,08.02.2019,,,,,,,,,,,
651,09.02.2019,,,,,,,,,,,
652,11.02.2019,,,,,,,,,,,
653,12.02.2019,,,,,,,,,,,
654,13.02.2019,,,,,,,,,,,
655,14.02.2019,,,,,,,,,,,
656,15.02.2019,,,,,,,,,,,
657,16.02.2019,,,,,,,,,,,
658,18.02.2019,,,,,,,,,,,
659,19.02.2019,,,,,,,,,,,
660,20.02.2019,,,,,,,,,,,
661,21.02.2019,,,,,,,,,,,
662,22.02.2019,,,,,,,,,,,
663,23.02.2019,,,,,,,,,,,
664,25.02.2019,,,,,,,,,,,
665,26.02.2019,,,,,,,,,,,
666,27.02.2019,,,,,,,,,,,
667,28.02.2019,,,,,,,,,,,
668,01.03.2019,,,,,,,,,,,
669,02.03.2019,,,,,,,,,,,
670,04.03.2019,,,,,,,,,,,
671,05.03.2019,,,,,,,,,,,
672,06.03.2019,,,,,,,,,,,
673,07.03.2019,,,,,,,,,,,
674,08.03.2019,,,,,,,,,,,
675,09.03.2019,,,,,,,,,,,
676,11.03.2019,,,,,,,,,,,
677,12.03.2019,,,,,,,,,,,
678,13.03.2019,,,,,,,,,,,
679,14.03.2019,,,,,,,,,,,
680,15.03.2019,,,,,,,,,,,
681,16.03.2019,,,,,,,,,,,
682,18.03.2019,,,,,,,,,,,
683,19.03.2019,,,,,,,,,,,
